Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Thailand,THA,PISA: Male 15-year-olds by reading proficiency level (%). Level 6,LO.PISA.REA.6.MA,0,,,0,,,0,,,0,,,0.011791362,,,0.00606232
Thailand,THA,PISA: Male 15-year-olds by science proficiency level (%). Below Level 1B,LO.PISA.SCI.0.MA,,,,,,,3,,,2,,,1,,,1.337363767
Thailand,THA,PISA: Male 15-year-olds by science proficiency level (%). Level 1A,LO.PISA.SCI.1A.MA,,,,32.07921233,,,34.70712122,,,32.24087417,,,29.97622281,,,34.42599633
Thailand,THA,PISA: Male 15-year-olds by science proficiency level (%). Level 1B,LO.PISA.SCI.1B.MA,,,,,,,14,,,13,,,8,,,13.83769331
Thailand,THA,PISA: Male 15-year-olds by science proficiency level (%). Level 2,LO.PISA.SCI.2.MA,,,,33.0744816,,,29.07145479,,,32.01429081,,,35.61401913,,,30.51156708
Thailand,THA,PISA: Male 15-year-olds by science proficiency level (%). Level 3,LO.PISA.SCI.3.MA,,,,15.31676685,,,14.86542533,,,16.38566408,,,18.28619958,,,14.86978694
Thailand,THA,PISA: Male 15-year-olds by science proficiency level (%). Level 4,LO.PISA.SCI.4.MA,,,,5.656320675,,,3.841451696,,,4.042800327,,,5.635079852,,,4.606089826
Thailand,THA,PISA: Male 15-year-olds by science proficiency level (%). Level 5,LO.PISA.SCI.5.MA,,,,0.951379098,,,0.463111159,,,0.473952352,,,0.728061588,,,0.396657121
Thailand,THA,PISA: Male 15-year-olds by science proficiency level (%). Level 6,LO.PISA.SCI.6.MA,,,,0,,,0.000888356,,,0,,,0.051491903,,,0.014845635
Thailand,THA,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,432,,,416.9779603,,,417.0726143,,,418.583935,,,426.7374913,,,415.4638
Thailand,THA,PISA: Mean performance on the mathematics scale. Female,LO.PISA.MAT.FE,435,,,418.7877588,,,419.8855742,,,417.0107987,,,432.7173802,,,416.7296649
Thailand,THA,PISA: Mean performance on the mathematics scale. Male,LO.PISA.MAT.MA,429,,,414.7719205,,,413.2775465,,,420.6479702,,,419.1336608,,,413.8091955
Thailand,THA,PISA: Mean performance on the reading scale,LO.PISA.REA,430.6838733,,,419.9148291,,,416.7517647,,,421.3744142,,,441.2199343,,,409.1301
Thailand,THA,PISA: Mean performance on the reading scale. Female,LO.PISA.REA.FE,447.6395304,,,439.167756,,,439.8665491,,,437.655987,,,465.4289405,,,422.5532598
Thailand,THA,PISA: Mean performance on the reading scale. Male,LO.PISA.REA.MA,406.4606893,,,396.4466233,,,385.5667582,,,400.0121584,,,410.4365565,,,391.584784
Thailand,THA,PISA: Mean performance on the science scale,LO.PISA.SCI,436.3785367,,,429.0603781,,,421.0114694,,,425.2962849,,,443.9999351,,,421.3373
Thailand,THA,PISA: Mean performance on the science scale. Female,LO.PISA.SCI.FE,441.6796922,,,432.6747384,,,428.1241186,,,430.9507764,,,452.4914811,,,425.2517986
Thailand,THA,PISA: Mean performance on the science scale. Male,LO.PISA.SCI.MA,428.6107092,,,424.6546818,,,411.4155325,,,417.8773032,,,433.2023638,,,416.2207376
